marca,modelo,qtd_emplacados,ano_mes,tipo
FIAT,STRADA,13837,2023-02-01,comerciais_leves
FIAT,TORO,6472,2023-02-01,comerciais_leves
TOYOTA,HILUX,6249,2023-02-01,comerciais_leves
VW,SAVEIRO,4806,2023-02-01,comerciais_leves
GM,S10,3551,2023-02-01,comerciais_leves
FIAT,FIORINO,2214,2023-02-01,comerciais_leves
FORD,RANGER,2002,2023-02-01,comerciais_leves
MITSUBISHI,L200,1570,2023-02-01,comerciais_leves
RENAULT,OROCH,1434,2023-02-01,comerciais_leves
RENAULT,MASTER,1146,2023-02-01,comerciais_leves
NISSAN,FRONTIER,1090,2023-02-01,comerciais_leves
VW,AMAROK,1020,2023-02-01,comerciais_leves
RAM,3500,509,2023-02-01,comerciais_leves
FIAT,SCUDO,501,2023-02-01,comerciais_leves
FORD,TRANSIT,482,2023-02-01,comerciais_leves
GM,MONTANA,440,2023-02-01,comerciais_leves
KIA,K2500,422,2023-02-01,comerciais_leves
CITROEN,JUMPY,421,2023-02-01,comerciais_leves
RAM,CLASSIC,327,2023-02-01,comerciais_leves
PEUGEOT,EXPERT,262,2023-02-01,comerciais_leves
RAM,2500,253,2023-02-01,comerciais_leves
IVECO,DAILY,246,2023-02-01,comerciais_leves
VW,MAN-EXPRESS,237,2023-02-01,comerciais_leves
FORD,MAVERICK,202,2023-02-01,comerciais_leves
RAM,1500,172,2023-02-01,comerciais_leves
PEUGEOT,PARTNER,167,2023-02-01,comerciais_leves
M.BENZ,SPRINTER-315,149,2023-02-01,comerciais_leves
EFFA,V21,118,2023-02-01,comerciais_leves
EFFA,V22,39,2023-02-01,comerciais_leves
IVECO,DAILY-30-130,27,2023-02-01,comerciais_leves
JEEP,GLADIATOR,22,2023-02-01,comerciais_leves
FIAT,DUCATO,18,2023-02-01,comerciais_leves
BYD,T3,18,2023-02-01,comerciais_leves
M.BENZ,SPRINTER,17,2023-02-01,comerciais_leves
PEUGEOT,BOXER,15,2023-02-01,comerciais_leves
CITROEN,JUMPER,8,2023-02-01,comerciais_leves
M.BENZ,SPRINTER-416,7,2023-02-01,comerciais_leves
EFFA,V25,6,2023-02-01,comerciais_leves
FORD,F150,5,2023-02-01,comerciais_leves
JAC,IEV750,4,2023-02-01,comerciais_leves
FOTON,AUMARK-1039,4,2023-02-01,comerciais_leves
GMC,HUMMER-EV-EDITION-1,3,2023-02-01,comerciais_leves
TOYOTA,BANDEIRANTE,3,2023-02-01,comerciais_leves
TOYOTA,TUNDRA,3,2023-02-01,comerciais_leves
JAC,EJV5.5,3,2023-02-01,comerciais_leves
JAC,IEV-330P,3,2023-02-01,comerciais_leves
FOTON,AUMARK-3.5-14DT,3,2023-02-01,comerciais_leves
FORD,F250,2,2023-02-01,comerciais_leves
GM,SILVERADO,2,2023-02-01,comerciais_leves
GMC,SIERRA,2,2023-02-01,comerciais_leves
